epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,5383.86,0.58151,0.36475,0.82669,0.98019,0.96987,0.99226,0.85492,0.58374,0.29119,0.78733,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
32,5549.16,0.5747,0.35783,0.82531,0.983,0.96962,0.99254,0.8552,0.58666,0.28854,0.78674,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
33,5714.04,0.56788,0.35015,0.82425,0.97967,0.9732,0.99276,0.85837,0.5799,0.28612,0.78574,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
34,5878.18,0.56483,0.34689,0.82427,0.98093,0.97346,0.99295,0.86045,0.57509,0.28202,0.78464,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
35,6042.47,0.56155,0.3416,0.82305,0.98233,0.97413,0.99308,0.86023,0.5796,0.27925,0.78474,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
36,6206.02,0.5545,0.33352,0.82173,0.98119,0.97569,0.99323,0.8591,0.58435,0.27817,0.78494,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
37,6371.27,0.54747,0.32661,0.82133,0.98107,0.97449,0.99301,0.85398,0.5992,0.28429,0.78689,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
38,6537.75,0.54426,0.32208,0.82113,0.98012,0.97511,0.99299,0.85364,0.6014,0.28507,0.78715,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
39,6705.7,0.53869,0.31556,0.81879,0.98032,0.97537,0.99308,0.8554,0.5974,0.28196,0.78639,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
40,6874.49,0.53313,0.30844,0.8185,0.98185,0.97403,0.99308,0.85374,0.60345,0.28342,0.787,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
